p_id,name,accessory_type,price,brand,img,ratingCount,avg_rating,description
A001,Running Shoes,Watch,3766,Pearl Palace,https://i5.walmartimages.com/asr/7eb22a71-1b1e-44cf-a208-a886984bb33e_1.45b8e0c93a3a83cdb21db2e6539d3f1a.jpeg,60,4.5,Durable and stylish with a classic design.
A002,Silk Tie,Brooch,3392,Pearl Palace,https://th.bing.com/th/id/OIP.eyiswBzifVu-XeWdosEpGwHaHa?rs=1&pid=ImgDetMain,10,3.6,UV-protected and stylish to complete your look.
A003,Chic Handbag,Tote Bag,4062,AccessoryLand,https://th.bing.com/th/id/OIP.aojAfG495FeyOACnCBWOxwHaFr?rs=1&pid=ImgDetMain,165,4.4,Sophisticated and perfect for formal events and parties.
A004,Charm Bracelet,Scarf,2718,Fashion House,https://th.bing.com/th/id/OIP.iMRcXaWfPBefLg9JBeAFDAHaJ4?rs=1&pid=ImgDetMain,127,3.9,A beautifully crafted accessory for all occasions.
A005,Bangle Set,Bangle,4825,Leather Masters,https://th.bing.com/th/id/OIP.HSW_aG-Mg-CP1flS0oxzyAHaG4?rs=1&pid=ImgDetMain,75,3.1,UV-protected and stylish to complete your look.
A006,Elegant Hair Clip,Watch,2128,SunStyle,https://i.pinimg.com/originals/2c/b5/c5/2cb5c5b7b6210d5b8a414496532ec208.jpg,249,4.1,Sophisticated and perfect for formal events and parties.
A007,Charm Bracelet,Gloves,3473,Glamour World,https://www.iblamebeads.com/cdn/shop/files/8AE836DD-1EBC-4C95-AD89-A2D5F7D40166_900x.jpg?v=1712680615,37,3.3,Sophisticated and perfect for formal events and parties.
A008,Silk Pocket Square,Wallet,4210,Leather Masters,https://tossido.in/cdn/shop/files/IMG_2912_600x.jpg?v=1683285760,155,3.7,A beautifully crafted accessory for all occasions.
A009,Stylish Beanie,Scarf,3815,AccessoryLand,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcQJkrjjWDi4p0ht2oLKVOzpx_7HRjj7GmoBiFjjLV9TSIiJfwn6ATXN7t2uJ4Jc9IK-1mLEQWHJedTNAkfR-qAL6t5o81Ryf5dyiGCha8pH&usqp=CAE,129,3.7,Sophisticated and perfect for formal events and parties.
A010,Leather Gloves,Gloves,3837,StyleHub,https://i.etsystatic.com/27269192/r/il/a7aa19/4429898342/il_1080xN.4429898342_728d.jpg,18,3.8,A beautifully crafted accessory for all occasions.
A011,Luxury Watch,Hat,2368,TimeZone,https://cdn.shopify.com/s/files/1/0278/9723/3501/files/49-Richard-Mille-Brands.jpg?v=1651007465,115,3,A beautifully crafted accessory for all occasions.
A012,Crossbody Bag,Bag,2687,TimeZone,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQNI_JSw0lDZArGputtMQCU1nBrl8HhoLJ9Rg&s,114,4.1,UV-protected and stylish to complete your look.
A013,Elegant Silver Necklace,Necklace,2418,Jewelry World,https://www.voylla.com/cdn/shop/products/NJJAI20572_CS_b261e39c-7ed7-4a64-8d73-22f9d7ec411d.jpg?v=1683542837,182,4.4,A beautifully crafted accessory for all occasions.
A014,Patterned Shawl,Cap,1404,Fashion House,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRX_HRVl8tPwFWOM0Uj8E6hiU54jIOUIwQuOA&s,124,4.9,Durable and stylish with a classic design.
